ctry,fh09,polity09,gini,fparl08,mena,lati,cari,east,sovi,afri,corr0509,Unnamed: 13,corr_round,fh_status
Samoa,2.0,,,8.16,0,0,0,0,0,0,0.164414584985552,,0.16,free
San Marino,1.0,,,15.0,0,0,0,0,0,0,,,,free
Sao Tome and Principe,2.0,,50.6,7.27,0,0,0,0,0,1,-0.551727246544846,,-0.55,free
Serbia,2.0,,28.2,21.6,0,0,0,0,1,0,-0.283202179202824,,-0.28,free
Slovak Republic,1.0,10.0,25.8,19.33,0,0,0,0,1,0,0.435218744100823,,0.44,free
Slovenia,1.0,10.0,31.2,10.0,0,0,0,0,1,0,1.01059983926299,,1.01,free
South Africa,2.0,9.0,57.8,33.92,0,0,0,0,0,1,0.332959829876555,,0.33,free
Spain,1.0,10.0,34.7,33.61,0,0,0,0,0,0,1.10179026726658,,1.1,free
St. Kitts and Nevis,1.0,,,6.67,0,0,1,0,0,0,1.03923043695193,,1.04,free
St. Lucia,1.0,,,17.24,0,0,1,0,0,0,1.19385743492346,,1.19,free
St. Vincent and the Grenadines,1.5,,,18.18,0,0,1,0,0,0,1.03923043695193,,1.04,free
Suriname,2.0,,52.8,25.49,0,0,1,0,0,0,-0.08950256667036,,-0.09,free
Sweden,1.0,10.0,25.0,46.99,0,0,0,0,0,0,2.14710767811866,,2.15,free
Switzerland,1.0,10.0,33.7,27.24,0,0,0,0,0,0,2.05866070078905,,2.06,free
Trinidad and Tobago,2.0,10.0,40.3,33.33,0,0,1,0,0,0,-0.108312323940113,,-0.11,free
Tuvalu,1.0,,,0.0,0,0,0,0,0,0,-0.149392563343805,,-0.15,free
Ukraine,2.5,7.0,27.6,8.22,0,0,0,0,0,0,-0.722976015785938,,-0.72,free
United Kingdom,1.0,10.0,36.0,19.61,0,0,0,0,0,0,1.71413684400448,,1.71,free
United States,1.0,10.0,40.8,17.01,0,0,0,0,0,0,1.33810603325913,,1.34,free
Uruguay,1.0,10.0,47.1,12.31,0,1,0,0,0,0,1.11251414806231,,1.11,free
Vanuatu,2.0,,,3.85,0,0,0,0,0,0,0.345598699472586,,0.35,free
